pMIG_plus_1	pMIG_plus_2	pMIG_plus_3	pMIG_plus_4	pMIG_plus_5	pMIG_plus_6	pMIG_BCR_ABL_1	pMIG_BCR_ABL_2	pMIG_BCR_ABL_3	pMIG_BCR_ABL_4	pMIG_BCR_ABL_5	pMIG_BCR_ABL_6
3.179227579	3.20806303	3.192056834	3.645551802	3.60445093	3.988157496	4.315819795	4.413465458	4.273254779	4.348820201	4.177279996	4.206307202
0	0	0	0	0	0	0	0	0	0	0	0
0.716214812	0.612706346	0.586045078	0.264445153	0.265882118	0.863110645	1.025057152	0.461834458	1.013447967	0.77603996	0.695247337	1.022737096
5.31492125	5.869412473	5.893728663	5.674147062	5.230675686	6.357580154	5.879495031	5.822962082	5.810844082	5.760809084	5.57965988	5.611821565
4.477981634	4.469124063	4.496334513	4.262139958	4.313623167	4.245792264	4.284277218	4.221768836	4.265391886	4.29304671	4.291935022	4.271022215
4.524947532	4.82043939	5.105686458	4.890106165	4.903958948	4.878843028	4.63778411	4.590985186	4.755918394	4.120044987	4.5014901	4.20162602
0.011013429	0	0	0	0	0	0.009727684	0.023755826	0	0	0	0
0.03655144	0.030254423	0.015892729	0	0.042518831	0.036396846	0	0	0.022985598	0.018930373	0.029872364	0.021777048
1.28137778	1.345112464	1.279132497	1.046274517	1.382650654	1.089748974	1.249348248	1.145266595	1.12564449	0.980380719	1.172161048	1.316029859
0.085890975	0.024112126	0	0.439791198	1.125756887	0	0	0	0	0.059388506	0.023818976	0.034507043
0	0	0	0	0	0	0	0.085788072	0	0	0	0.047587246
1.157522373	1.381122756	1.736877587	3.315645927	2.39631844	2.238811312	4.021968242	3.829524866	3.958981835	3.840443091	3.7005174	3.701770822
1.974140136	2.370384714	2.418926627	3.887106048	2.78938914	4.4496274	3.415112337	4.12249879	3.680155545	4.438279543	4.058307836	4.172159448
6.907671844	7.216930123	7.454587187	7.346930304	6.976661493	7.565566713	8.212292095	7.662860603	8.100730662	8.271280929	7.689606679	8.060604072
0.017800218	0	0.045663412	0.030953144	0	0.11257257	0	0	0	0	0	0
3.323187018	3.305016189	3.554871224	3.279037382	3.447390087	3.304055382	2.928334314	2.859766841	2.872958744	2.957110402	2.855102685	2.76913275
0	0	0	0	0	0	0	0	0	0	0	0
0.119378622	0	0.052515502	0.200647473	0	0.11929548	0.106118998	0.246133204	0.215878603	0.062142164	0.049854751	0.139845346
0.015392946	0.025342821	0.013304085	0	0.070442775	0	0	0	0	0	0.000146736	0
0	0	0	0.11816341	0	0	0	0	0	0	0	0
4.170517988	3.996867757	3.987311769	3.349764398	3.313414205	3.603905214	3.344226302	3.35427019	3.52539239	3.607993061	3.501400928	3.541229841
3.76701911	4.106448829	4.29423843	3.154029018	3.892284156	4.161331452	4.500477028	4.352320679	4.628377004	4.168746319	3.857473475	3.95069236
0	0	0	0	0	0	0	0	0	0	0	0.12890546
3.72212717	3.685334695	3.808302667	3.642135472	3.930216927	3.495490511	3.477029653	3.57424686	3.321902126	3.524076217	3.522708632	3.502585202
1.840604223	1.923982032	1.97455868	3.860247727	3.882134349	3.301145699	3.885964757	4.136855805	3.959213739	3.330591384	3.27990805	3.196902854
0	0	0	0.251503392	0	0	0	0	0	0	0	0.177380787
0	0	0	0	0	0	0	0	0	0	0	0
0.016640939	0	0	0	0	0	0	0	0	0	0	0
0.415335746	0.309831597	0.201934914	0.235417046	0.345314615	0.212756083	0.222243198	0.286617418	0.30567174	0.181836596	0.264298614	0.141621127
0	0	0	0	0	0	0	0	0	0	0	0
